duel_id,modele_a_id,modele_a,modele_b_id,modele_b,titre_page,categorie,ecole_a,ecole_b,inter_ecoles,cylindree_a,cylindree_b,puissance_ch_a,puissance_ch_b,poids_a,poids_b,a2,score_priorite
ducati-panigale-v2-vs-yamaha-yzf-r1,yamaha-yzf-r1,Yamaha YZF-R1,ducati-panigale-v2,Ducati Panigale V2,Yamaha YZF-R1 ou Ducati Panigale V2 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,955.0,201.8,157.1,203.0,205.0,non,276.5
aprilia-rs660-vs-yamaha-yzf-r7-2022-bike,aprilia-rs660,Aprilia RS 660,yamaha-yzf-r7-2022-bike,Yamaha YZF-R7 (2022),Aprilia RS 660 ou Yamaha YZF-R7 (2022) : lequel choisir ?,Sportive,italienne,japonaise,oui,659.0,689.6,101.4,73.4,183.0,188.0,non,273.9
ducati-panigale-v2-vs-yamaha-yzf-r9,ducati-panigale-v2,Ducati Panigale V2,yamaha-yzf-r9,Yamaha YZF-R9,Ducati Panigale V2 ou Yamaha YZF-R9 : lequel choisir ?,Sportive,italienne,japonaise,oui,955.0,890.0,157.1,119.0,205.0,195.0,non,273.6
honda-grom-vs-ktm-125-duke,honda-grom,Honda MSX 125,ktm-125-duke,KTM 125 Duke,Honda MSX 125 ou KTM 125 Duke : lequel choisir ?,Roadster,japonaise,autrichienne,oui,124.9,124.7,9.8,15.0,101.7,127.0,oui,273.1
kawasaki-ninja-h2-vs-yamaha-yzf-r1,yamaha-yzf-r1,Yamaha YZF-R1,kawasaki-ninja-h2,Kawasaki Ninja H2,Yamaha YZF-R1 ou Kawasaki Ninja H2 : lequel choisir ?,Sportive,japonaise,japonaise,non,998.0,998.0,201.8,192.4,203.0,239.95,non,272.9
honda-cb-125-f-vs-ktm-125-duke,honda-cb-125-f,Honda CB 125 F,ktm-125-duke,KTM 125 Duke,Honda CB 125 F ou KTM 125 Duke : lequel choisir ?,Roadster,japonaise,autrichienne,oui,124.7,124.7,10.6,15.0,115.0,127.0,oui,272.7
ducati-panigale-v4-vs-yamaha-yzf-r9,ducati-panigale-v4,Ducati Panigale V4,yamaha-yzf-r9,Yamaha YZF-R9,Ducati Panigale V4 ou Yamaha YZF-R9 : lequel choisir ?,Sportive,italienne,japonaise,oui,1103.0,890.0,218.8,119.0,,195.0,non,272.6
mv-agusta-brutale-series-vs-yamaha-mt-09,yamaha-mt-09,Yamaha MT-09,mv-agusta-brutale-series,MV Agusta Brutale series,Yamaha MT-09 ou MV Agusta Brutale series : lequel choisir ?,Roadster,japonaise,italienne,oui,847.2,749.4,119.0,127.0,188.0,185.0,non,272.5
mv-agusta-brutale-series-vs-yamaha-mt-07,yamaha-mt-07,Yamaha MT-07,mv-agusta-brutale-series,MV Agusta Brutale series,Yamaha MT-07 ou MV Agusta Brutale series : lequel choisir ?,Roadster,japonaise,italienne,oui,689.6,749.4,74.8,127.0,179.0,185.0,non,272.5
mv-agusta-brutale-series-vs-yamaha-mt-10,yamaha-mt-10,Yamaha MT-10,mv-agusta-brutale-series,MV Agusta Brutale series,Yamaha MT-10 ou MV Agusta Brutale series : lequel choisir ?,Roadster,japonaise,italienne,oui,998.0,749.4,160.4,127.0,209.0,185.0,non,272.5
ducati-1199-vs-kawasaki-ninja-h2,kawasaki-ninja-h2,Kawasaki Ninja H2,ducati-1199,Ducati 1199 Panigale,Kawasaki Ninja H2 ou Ducati 1199 Panigale : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1198.0,192.4,174.2,239.95,192.78,non,269.4
kawasaki-ninja-650r-vs-yamaha-mt-03,kawasaki-ninja-650r,Kawasaki Ninja 650,yamaha-mt-03,Yamaha MT-03 (2006),Kawasaki Ninja 650 ou Yamaha MT-03 (2006) : lequel choisir ?,Roadster,japonaise,japonaise,non,649.0,660.0,72.1,48.0,211.0,174.0,non,267.0
ktm-990-super-duke-vs-yamaha-mt-09,yamaha-mt-09,Yamaha MT-09,ktm-990-super-duke,KTM 990 Super Duke,Yamaha MT-09 ou KTM 990 Super Duke : lequel choisir ?,Roadster,japonaise,autrichienne,oui,847.2,999.0,119.0,120.0,188.0,186.0,non,266.8
ktm-990-super-duke-vs-yamaha-mt-10,yamaha-mt-10,Yamaha MT-10,ktm-990-super-duke,KTM 990 Super Duke,Yamaha MT-10 ou KTM 990 Super Duke : lequel choisir ?,Roadster,japonaise,autrichienne,oui,998.0,999.0,160.4,120.0,209.0,186.0,non,266.8
ducati-multistrada-vs-kawasaki-z900,ducati-multistrada,Ducati Multistrada (2003),kawasaki-z900,Kawasaki Z900,Ducati Multistrada (2003) ou Kawasaki Z900 : lequel choisir ?,Roadster,italienne,japonaise,oui,992.0,948.0,84.0,125.4,200.0,,non,265.4
ducati-desmosedici-vs-honda-rc213v,honda-rc213v,Honda RC213V,ducati-desmosedici,Ducati Desmosedici GP,Honda RC213V ou Ducati Desmosedici GP : lequel choisir ?,Compétition,japonaise,italienne,oui,1000.0,1000.0,250.0,290.0,160.0,157.0,non,265.0
bmw-r1200c-vs-moto-guzzi-v100-mandello,bmw-r1200c,BMW R 1200 C,moto-guzzi-v100-mandello,Moto Guzzi V100 Mandello,BMW R 1200 C ou Moto Guzzi V100 Mandello : lequel choisir ?,Custom / Cruiser,allemande,italienne,oui,1170.0,1042.0,61.0,117.6,256.0,233.0,non,264.9
honda-cb600f-vs-yamaha-mt-07,yamaha-mt-07,Yamaha MT-07,honda-cb600f,Honda CB600F/Hornet/599,Yamaha MT-07 ou Honda CB600F/Hornet/599 : lequel choisir ?,Roadster,japonaise,japonaise,non,689.6,599.0,74.8,96.0,179.0,176.0,non,264.1
bmw-f-850-gs-vs-honda-crf1000l,honda-crf1000l,Honda CRF 1000 L Africa Twin,bmw-f-850-gs,BMW F 850 GS,Honda CRF 1000 L Africa Twin ou BMW F 850 GS : lequel choisir ?,Trail / Aventure,japonaise,allemande,oui,998.0,853.0,95.2,95.0,,229.0,non,264.0
honda-cb1300-vs-yamaha-mt-10,yamaha-mt-10,Yamaha MT-10,honda-cb1300,Honda CB 1300 Super Four,Yamaha MT-10 ou Honda CB 1300 Super Four : lequel choisir ?,Roadster,japonaise,japonaise,non,998.0,1284.0,160.4,101.4,209.0,236.0,non,263.1
bmw-r1150gs-vs-honda-crf1000l,honda-crf1000l,Honda CRF 1000 L Africa Twin,bmw-r1150gs,BMW R1150GS / BMW R1150GS Adventure,Honda CRF 1000 L Africa Twin ou BMW R1150GS / BMW R1150GS Adventure : lequel choisir ?,Trail / Aventure,japonaise,allemande,oui,998.0,1130.0,95.2,86.2,,229.0,non,262.4
bmw-f-850-gs-vs-yamaha-tenere-700,yamaha-tenere-700,Yamaha 700 Ténéré,bmw-f-850-gs,BMW F 850 GS,Yamaha 700 Ténéré ou BMW F 850 GS : lequel choisir ?,Trail / Aventure,japonaise,allemande,oui,689.6,853.0,73.1,95.0,205.0,229.0,non,261.9
bmw-r1200gs-vs-ducati-desertx,bmw-r1200gs,BMW R 1200 GS,ducati-desertx,Ducati DesertX,BMW R 1200 GS ou Ducati DesertX : lequel choisir ?,Trail / Aventure,allemande,italienne,oui,1170.0,937.0,110.1,111.5,225.0,211.0,non,261.6
aprilia-rs457-vs-honda-cbr600rr,honda-cbr600rr,Honda CBR600RR,aprilia-rs457,Aprilia RS457,Honda CBR600RR ou Aprilia RS457 : lequel choisir ?,Sportive,japonaise,italienne,oui,599.0,457.0,120.0,47.6,156.5,175.0,non,260.4
bmw-r1200gs-vs-moto-guzzi-stelvio,bmw-r1200gs,BMW R 1200 GS,moto-guzzi-stelvio,Moto Guzzi Stelvio,BMW R 1200 GS ou Moto Guzzi Stelvio : lequel choisir ?,Trail / Aventure,allemande,italienne,oui,1170.0,1151.0,110.1,104.7,225.0,251.0,non,260.2
bmw-f-850-gs-vs-ducati-desertx,ducati-desertx,Ducati DesertX,bmw-f-850-gs,BMW F 850 GS,Ducati DesertX ou BMW F 850 GS : lequel choisir ?,Trail / Aventure,italienne,allemande,oui,937.0,853.0,111.5,95.0,211.0,229.0,non,259.9
ducati-desertx-vs-moto-guzzi-stelvio,moto-guzzi-stelvio,Moto Guzzi Stelvio,ducati-desertx,Ducati DesertX,Moto Guzzi Stelvio ou Ducati DesertX : lequel choisir ?,Trail / Aventure,italienne,italienne,non,1151.0,937.0,104.7,111.5,251.0,211.0,non,259.6
honda-cbr250rr-2017-vs-yamaha-yzf-r3,yamaha-yzf-r3,Yamaha YZF-R3,honda-cbr250rr-2017,Honda CBR250RR,Yamaha YZF-R3 ou Honda CBR250RR : lequel choisir ?,Sportive,japonaise,japonaise,non,320.3,249.7,42.1,38.6,166.92,165.0,oui,259.3
ktm-1290-super-duke-r-vs-yamaha-mt-10,yamaha-mt-10,Yamaha MT-10,ktm-1290-super-duke-r,KTM 1290 Super Duke R/GT,Yamaha MT-10 ou KTM 1290 Super Duke R/GT : lequel choisir ?,Roadster,japonaise,autrichienne,oui,998.0,1301.0,160.4,179.5,209.0,195.04,non,257.5
triumph-tiger-sport-660-vs-yamaha-tracer-900,yamaha-tracer-900,Yamaha Tracer 900,triumph-tiger-sport-660,Triumph Tiger Sport 660,Yamaha Tracer 900 ou Triumph Tiger Sport 660 : lequel choisir ?,Routière / GT,japonaise,britannique,oui,847.2,660.0,116.6,81.0,209.56,206.0,non,256.7
ducati-multistrada-vs-ktm-1290-super-duke-r,ducati-multistrada,Ducati Multistrada (2003),ktm-1290-super-duke-r,KTM 1290 Super Duke R/GT,Ducati Multistrada (2003) ou KTM 1290 Super Duke R/GT : lequel choisir ?,Roadster,italienne,autrichienne,oui,992.0,1301.0,84.0,179.5,200.0,195.04,non,256.0
kawasaki-z900-vs-mv-agusta-brutale-series,kawasaki-z900,Kawasaki Z900,mv-agusta-brutale-series,MV Agusta Brutale series,Kawasaki Z900 ou MV Agusta Brutale series : lequel choisir ?,Roadster,japonaise,italienne,oui,948.0,749.4,125.4,127.0,,185.0,non,256.0
aprilia-tuareg-vs-bmw-f-850-gs,bmw-f-850-gs,BMW F 850 GS,aprilia-tuareg,Aprilia Tuareg,BMW F 850 GS ou Aprilia Tuareg : lequel choisir ?,Trail / Aventure,allemande,italienne,oui,853.0,659.0,95.0,80.1,229.0,186.88,non,255.3
ducati-multistrada-vs-suzuki-gsr750,ducati-multistrada,Ducati Multistrada (2003),suzuki-gsr750,Suzuki GSR 750,Ducati Multistrada (2003) ou Suzuki GSR 750 : lequel choisir ?,Roadster,italienne,japonaise,oui,992.0,749.0,84.0,107.4,200.0,213.0,non,255.1
suzuki-gsr600-vs-yamaha-mt-07,yamaha-mt-07,Yamaha MT-07,suzuki-gsr600,Suzuki GSR 600,Yamaha MT-07 ou Suzuki GSR 600 : lequel choisir ?,Roadster,japonaise,japonaise,non,689.6,599.0,74.8,98.0,179.0,183.0,non,255.0
kawasaki-ninja-650r-vs-mv-agusta-brutale-series,kawasaki-ninja-650r,Kawasaki Ninja 650,mv-agusta-brutale-series,MV Agusta Brutale series,Kawasaki Ninja 650 ou MV Agusta Brutale series : lequel choisir ?,Roadster,japonaise,italienne,oui,649.0,749.4,72.1,127.0,211.0,185.0,non,254.6
kawasaki-ninja-h2-vs-yamaha-yzf-r9,kawasaki-ninja-h2,Kawasaki Ninja H2,yamaha-yzf-r9,Yamaha YZF-R9,Kawasaki Ninja H2 ou Yamaha YZF-R9 : lequel choisir ?,Sportive,japonaise,japonaise,non,998.0,890.0,192.4,119.0,239.95,195.0,non,254.1
suzuki-gsr750-vs-yamaha-mt-09,yamaha-mt-09,Yamaha MT-09,suzuki-gsr750,Suzuki GSR 750,Yamaha MT-09 ou Suzuki GSR 750 : lequel choisir ?,Roadster,japonaise,japonaise,non,847.2,749.0,119.0,107.4,188.0,213.0,non,253.6
suzuki-gsr750-vs-yamaha-mt-07,yamaha-mt-07,Yamaha MT-07,suzuki-gsr750,Suzuki GSR 750,Yamaha MT-07 ou Suzuki GSR 750 : lequel choisir ?,Roadster,japonaise,japonaise,non,689.6,749.0,74.8,107.4,179.0,213.0,non,253.6
suzuki-gsr750-vs-yamaha-mt-10,yamaha-mt-10,Yamaha MT-10,suzuki-gsr750,Suzuki GSR 750,Yamaha MT-10 ou Suzuki GSR 750 : lequel choisir ?,Roadster,japonaise,japonaise,non,998.0,749.0,160.4,107.4,209.0,213.0,non,253.6
honda-cbr600rr-vs-yamaha-yzf-r7-2022-bike,honda-cbr600rr,Honda CBR600RR,yamaha-yzf-r7-2022-bike,Yamaha YZF-R7 (2022),Honda CBR600RR ou Yamaha YZF-R7 (2022) : lequel choisir ?,Sportive,japonaise,japonaise,non,599.0,689.6,120.0,73.4,156.5,188.0,non,253.5
mv-agusta-brutale-series-vs-yamaha-mt-03,yamaha-mt-03,Yamaha MT-03 (2006),mv-agusta-brutale-series,MV Agusta Brutale series,Yamaha MT-03 (2006) ou MV Agusta Brutale series : lequel choisir ?,Roadster,japonaise,italienne,oui,660.0,749.4,48.0,127.0,174.0,185.0,non,253.5
ducati-panigale-v4-vs-kawasaki-ninja-zx-12r,kawasaki-ninja-zx-12r,Kawasaki ZX-12R,ducati-panigale-v4,Ducati Panigale V4,Kawasaki ZX-12R ou Ducati Panigale V4 : lequel choisir ?,Sportive,japonaise,italienne,oui,1199.0,1103.0,181.0,218.8,247.21,,non,253.5
ducati-panigale-v4-vs-honda-vtr1000f,honda-vtr1000f,Honda VTR 1000 F,ducati-panigale-v4,Ducati Panigale V4,Honda VTR 1000 F ou Ducati Panigale V4 : lequel choisir ?,Sportive,japonaise,italienne,oui,996.0,1103.0,117.6,218.8,214.1,,non,253.5
kawasaki-ninja-zx-10r-vs-yamaha-yzf-r9,kawasaki-ninja-zx-10r,Kawasaki ZX-10R,yamaha-yzf-r9,Yamaha YZF-R9,Kawasaki ZX-10R ou Yamaha YZF-R9 : lequel choisir ?,Sportive,japonaise,japonaise,non,998.0,890.0,175.0,119.0,170.0,195.0,non,253.1
bmw-g650x-series-vs-yamaha-mt-09,yamaha-mt-09,Yamaha MT-09,bmw-g650x-series,BMW G 650 X,Yamaha MT-09 ou BMW G 650 X : lequel choisir ?,Roadster,japonaise,allemande,oui,847.2,652.0,119.0,53.0,188.0,144.0,non,252.5
bmw-g650x-series-vs-yamaha-mt-07,yamaha-mt-07,Yamaha MT-07,bmw-g650x-series,BMW G 650 X,Yamaha MT-07 ou BMW G 650 X : lequel choisir ?,Roadster,japonaise,allemande,oui,689.6,652.0,74.8,53.0,179.0,144.0,non,252.5
ducati-1098-vs-kawasaki-ninja-h2,kawasaki-ninja-h2,Kawasaki Ninja H2,ducati-1098,Ducati 1098/1198,Kawasaki Ninja H2 ou Ducati 1098/1198 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1099.0,192.4,182.5,239.95,173.0,non,252.0
aprilia-rs660-vs-mz-skorpion,aprilia-rs660,Aprilia RS 660,mz-skorpion,MZ Skorpion,Aprilia RS 660 ou MZ Skorpion : lequel choisir ?,Sportive,italienne,allemande,oui,659.0,656.0,101.4,48.7,183.0,188.69,non,251.1
benelli-tornado-tre-900-vs-yamaha-yzf-r7-2022-bike,yamaha-yzf-r7-2022-bike,Yamaha YZF-R7 (2022),benelli-tornado-tre-900,Benelli Tornado Tre,Yamaha YZF-R7 (2022) ou Benelli Tornado Tre : lequel choisir ?,Sportive,japonaise,italienne,oui,689.6,898.0,73.4,143.0,188.0,198.0,non,250.6
aprilia-tuono-vs-ktm-1290-super-duke-r,ktm-1290-super-duke-r,KTM 1290 Super Duke R/GT,aprilia-tuono,Aprilia RSV Tuono,KTM 1290 Super Duke R/GT ou Aprilia RSV Tuono : lequel choisir ?,Roadster,autrichienne,italienne,oui,1301.0,997.62,179.5,125.1,195.04,210.0,non,250.5
kawasaki-ninja-zx-10r-vs-yamaha-yzf-r1,yamaha-yzf-r1,Yamaha YZF-R1,kawasaki-ninja-zx-10r,Kawasaki ZX-10R,Yamaha YZF-R1 ou Kawasaki ZX-10R : lequel choisir ?,Sportive,japonaise,japonaise,non,998.0,998.0,201.8,175.0,203.0,170.0,non,250.2
benelli-tornado-tre-900-vs-yamaha-yzf-r9,yamaha-yzf-r9,Yamaha YZF-R9,benelli-tornado-tre-900,Benelli Tornado Tre,Yamaha YZF-R9 ou Benelli Tornado Tre : lequel choisir ?,Sportive,japonaise,italienne,oui,890.0,898.0,119.0,143.0,195.0,198.0,non,250.2
aprilia-tuono-vs-kawasaki-z900,kawasaki-z900,Kawasaki Z900,aprilia-tuono,Aprilia RSV Tuono,Kawasaki Z900 ou Aprilia RSV Tuono : lequel choisir ?,Roadster,japonaise,italienne,oui,948.0,997.62,125.4,125.1,,210.0,non,249.5
aprilia-rs-gp-vs-honda-rc212v,aprilia-rs-gp,Aprilia RS-GP,honda-rc212v,Honda RC212V,Aprilia RS-GP ou Honda RC212V : lequel choisir ?,Compétition,italienne,japonaise,oui,1000.0,800.0,250.0,207.0,160.0,148.0,non,249.4
honda-crosstourer-vs-moto-guzzi-stelvio,moto-guzzi-stelvio,Moto Guzzi Stelvio,honda-crosstourer,Honda Crosstourer,Moto Guzzi Stelvio ou Honda Crosstourer : lequel choisir ?,Trail / Aventure,italienne,japonaise,oui,1151.0,1237.0,104.7,129.2,251.0,277.0,non,249.1
ducati-1098-vs-kawasaki-ninja-zx-10r,kawasaki-ninja-zx-10r,Kawasaki ZX-10R,ducati-1098,Ducati 1098/1198,Kawasaki ZX-10R ou Ducati 1098/1198 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1099.0,175.0,182.5,170.0,173.0,non,249.0
bmw-f-800-gs-vs-honda-crf1000l,honda-crf1000l,Honda CRF 1000 L Africa Twin,bmw-f-800-gs,BMW F 800 GS,Honda CRF 1000 L Africa Twin ou BMW F 800 GS : lequel choisir ?,Trail / Aventure,japonaise,allemande,oui,998.0,798.0,95.2,85.0,,182.0,non,249.0
kawasaki-z900-vs-ktm-990-super-duke,ktm-990-super-duke,KTM 990 Super Duke,kawasaki-z900,Kawasaki Z900,KTM 990 Super Duke ou Kawasaki Z900 : lequel choisir ?,Roadster,autrichienne,japonaise,oui,999.0,948.0,120.0,125.4,186.0,,non,248.9
ducati-1098-vs-yamaha-yzf-r1,yamaha-yzf-r1,Yamaha YZF-R1,ducati-1098,Ducati 1098/1198,Yamaha YZF-R1 ou Ducati 1098/1198 : lequel choisir ?,Sportive,japonaise,italienne,oui,998.0,1099.0,201.8,182.5,203.0,173.0,non,248.5
ducati-multistrada-vs-ktm-990-super-duke,ducati-multistrada,Ducati Multistrada (2003),ktm-990-super-duke,KTM 990 Super Duke,Ducati Multistrada (2003) ou KTM 990 Super Duke : lequel choisir ?,Roadster,italienne,autrichienne,oui,992.0,999.0,84.0,120.0,200.0,186.0,non,248.3
bmw-f-800-gs-vs-yamaha-tenere-700,yamaha-tenere-700,Yamaha 700 Ténéré,bmw-f-800-gs,BMW F 800 GS,Yamaha 700 Ténéré ou BMW F 800 GS : lequel choisir ?,Trail / Aventure,japonaise,allemande,oui,689.6,798.0,73.1,85.0,205.0,182.0,non,247.0
ducati-1199-vs-kawasaki-ninja-zx-12r,kawasaki-ninja-zx-12r,Kawasaki ZX-12R,ducati-1199,Ducati 1199 Panigale,Kawasaki ZX-12R ou Ducati 1199 Panigale : lequel choisir ?,Sportive,japonaise,italienne,oui,1199.0,1198.0,181.0,174.2,247.21,192.78,non,247.0
honda-cb600f-vs-kawasaki-ninja-650r,kawasaki-ninja-650r,Kawasaki Ninja 650,honda-cb600f,Honda CB600F/Hornet/599,Kawasaki Ninja 650 ou Honda CB600F/Hornet/599 : lequel choisir ?,Roadster,japonaise,japonaise,non,649.0,599.0,72.1,96.0,211.0,176.0,non,246.2
ktm-1290-super-adventure-vs-moto-guzzi-stelvio,moto-guzzi-stelvio,Moto Guzzi Stelvio,ktm-1290-super-adventure,KTM 1290 Super Adventure,Moto Guzzi Stelvio ou KTM 1290 Super Adventure : lequel choisir ?,Trail / Aventure,italienne,autrichienne,oui,1151.0,1301.0,104.7,162.2,251.0,228.61,non,246.1
aprilia-tuono-vs-triumph-speed-twin-900,aprilia-tuono,Aprilia RSV Tuono,triumph-speed-twin-900,Triumph Speed Twin 900,Aprilia RSV Tuono ou Triumph Speed Twin 900 : lequel choisir ?,Roadster,italienne,britannique,oui,997.62,900.0,125.1,65.0,210.0,216.0,non,245.9
honda-crosstourer-vs-ktm-1290-super-adventure,honda-crosstourer,Honda Crosstourer,ktm-1290-super-adventure,KTM 1290 Super Adventure,Honda Crosstourer ou KTM 1290 Super Adventure : lequel choisir ?,Trail / Aventure,japonaise,autrichienne,oui,1237.0,1301.0,129.2,162.2,277.0,228.61,non,245.6
honda-cb600f-vs-yamaha-mt-03,yamaha-mt-03,Yamaha MT-03 (2006),honda-cb600f,Honda CB600F/Hornet/599,Yamaha MT-03 (2006) ou Honda CB600F/Hornet/599 : lequel choisir ?,Roadster,japonaise,japonaise,non,660.0,599.0,48.0,96.0,174.0,176.0,non,245.1
bmw-f-800-gs-vs-ducati-desertx,ducati-desertx,Ducati DesertX,bmw-f-800-gs,BMW F 800 GS,Ducati DesertX ou BMW F 800 GS : lequel choisir ?,Trail / Aventure,italienne,allemande,oui,937.0,798.0,111.5,85.0,211.0,182.0,non,245.0
moto-guzzi-v100-mandello-vs-yamaha-v-star-1300,moto-guzzi-v100-mandello,Moto Guzzi V100 Mandello,yamaha-v-star-1300,Yamaha V-Star 1300,Moto Guzzi V100 Mandello ou Yamaha V-Star 1300 : lequel choisir ?,Custom / Cruiser,italienne,japonaise,oui,1042.0,1304.0,117.6,71.0,233.0,303.0,non,244.8
hyosung-gt250-vs-kawasaki-w230,kawasaki-w230,Kawasaki W230,hyosung-gt250,Hyosung GT250R,Kawasaki W230 ou Hyosung GT250R : lequel choisir ?,Roadster,japonaise,coréenne,oui,233.0,249.0,17.2,28.4,133.0,187.7,oui,244.5
kawasaki-z900-vs-triumph-speed-twin-900,kawasaki-z900,Kawasaki Z900,triumph-speed-twin-900,Triumph Speed Twin 900,Kawasaki Z900 ou Triumph Speed Twin 900 : lequel choisir ?,Roadster,japonaise,britannique,oui,948.0,900.0,125.4,65.0,,216.0,non,244.4
